valve,chip,layer,device
0,in11,flow,d1
1,in21,flow,d1
2,in31,flow,d1
3,in41,flow,d1
4,in51,flow,d1
5,in61,flow,d1
6,in71,flow,d1
7,in81,flow,d1
8,out1,flow,d1
9,neck1,control,d1
10,b21,control,d1
11,s21,control,d1
12,s11,control,d1
13,b11,control,d1
14,in1,flow,d1
15,,,
16,c11,flow,d1
17,c21,flow,d1
18,c31,flow,d1
19,c41,flow,d1
20,c51,flow,d1
21,c61,flow,d1
22,c71,flow,d1
23,c81,flow,d1
24,in12,flow,d2
25,in22,flow,d2
26,in32,flow,d2
27,in42,flow,d2
28,in52,flow,d2
29,in62,flow,d2
30,in72,flow,d2
31,in82,flow,d2
32,out2,flow,d2
33,neck2,control,d2
34,b22,control,d2
35,s22,control,d2
36,s12,control,d2
37,b12,control,d2
38,in2,flow,d2
39,,,
40,c12,flow,d2
41,c22,flow,d2
42,c32,flow,d2
43,c42,flow,d2
44,c52,flow,d2
45,c62,flow,d2
46,c72,flow,d2
47,c82,flow,d2
